actor_name,movie_count,actor_id,tier
Indira Varma,4,835,3
Ezra Miller,4,836,3
Simon Callow,4,837,3
Alexa Davalos,4,838,3
Eileen Brennan,4,839,3
Scout Taylor-Compton,4,840,3
Pruitt Taylor Vince,4,841,3
Judd Hirsch,4,842,3
Vincent Gallo,4,843,3
Carlos Ponce,4,844,3
Anne Archer,4,845,3
Aaron Stanford,4,846,3
Stephen Collins,4,847,3
Jacinda Barrett,4,848,3
Abigail Spencer,4,849,3
Jason London,4,850,3
Eric Dane,4,851,3
Natascha McElhone,4,852,3
Mackenzie Crook,4,853,3
Tasha Smith,4,854,3
Alessandro Nivola,4,855,3
Romola Garai,4,856,3
Michael Stuhlbarg,4,857,3
Miranda Cosgrove,4,858,3
Adrienne Barbeau,4,859,3
Vanessa Lengies,4,860,3
Alanna Ubach,4,861,3
Ben Falcone,4,862,3
Demián Bichir,4,863,3
Kate Burton,4,864,3
Aunjanue Ellis,4,865,3
Mario Van Peebles,4,866,3
Kenny Baker,4,867,3
Sam Claflin,4,868,3
Marshall Bell,4,869,3
Tom McCarthy,4,870,3
Tyler Mane,4,871,3
Daniella Alonso,4,872,3
William McNamara,4,873,3
Debbie Reynolds,4,874,3
David Zayas,4,875,3
Sam Riley,4,876,3
Shah Rukh Khan,4,877,3
Madison Pettis,4,878,3
Dylan Moran,4,879,3
Robert Picardo,4,880,3
Peter Fonda,4,881,3
Scott Mechlowicz,4,882,3
Wendie Malick,4,883,3
Felicity Huffman,4,884,3
Elizabeth Berkley,4,885,3
Benedict Wong,4,886,3
Fiona Shaw,4,887,3
T.J. Thyne,4,888,3
Mackenzie Foy,4,889,3
Brooke Smith,4,890,3
Eartha Kitt,4,891,3
Lily James,4,892,3
Matt Craven,4,893,3
Chris Brown,4,894,3
Sharlto Copley,4,895,3
Nicholas Turturro,4,896,3
Alyson Stoner,4,897,3
Olivia Munn,4,898,3
Sam Waterston,4,899,3
Kirby Heyborne,4,900,3
Edie Falco,4,901,3
Jason Alexander,4,902,3
Sally Kirkland,4,903,3
Janet Leigh,4,904,3
Aasif Mandvi,4,905,3
Lauren German,4,906,3
Lee Majors,4,907,3
Joan Plowright,4,908,3
J.B. Smoove,4,909,3
Jay Mohr,4,910,3
Patrick Fischler,4,911,3
Harvey Korman,4,912,3
Rupert Evans,4,913,3
Kodi Smit-McPhee,4,914,3
Jessica Szohr,4,915,3
Tony Nappo,4,916,3
Nick Cannon,4,917,3
Samantha Mathis,4,918,3
Jonathan Frakes,4,919,3
Peter Gerety,4,920,3
David Kelly,4,921,3
Jim Parsons,4,922,3
Rae Dawn Chong,4,923,3
Julian Morris,4,924,3
Shelley Duvall,4,925,3
Craig Roberts,4,926,3
Billy Boyd,4,927,3
Bobb'e J. Thompson,4,928,3
Jeremy Davies,4,929,3
Eva Amurri Martino,4,930,3
George C. Scott,4,931,3
Heather Matarazzo,4,932,3
David Hyde Pierce,4,933,3
Jeremy Irvine,4,934,3
Theo James,4,935,3
Richard Burton,4,936,3
Lucas Grabeel,4,937,3
Jason Cope,4,938,3
Jason Scott Lee,4,939,3
Collette Wolfe,4,940,3
Moritz Bleibtreu,4,941,3
Mary McDonnell,4,942,3
Sam Trammell,4,943,3
Jimmy Fallon,4,944,3
John Fiedler,4,945,3
Tom Hollander,4,946,3
Vincent Regan,4,947,3
Woody Strode,4,948,3
Geoffrey Arend,4,949,3
Michiel Huisman,4,950,3
